"route_id","route_short_name","route_type","route_desc","route_color"
"2120","212","3","Boráros tér H / Svábhegy","009FE3"
"2130","213","3","Móricz Zsigmond körtér M / XIII. utca / Dózsa György út","009FE3"
"2140","214","3","Móricz Zsigmond körtér M / Baross Gábor-telep, Ispiláng utca","009FE3"
"2170","217","3","Kőbánya alsó vasútállomás / Pestszentlőrinc, Szarvas csárda tér","009FE3"
"2175","217E","3","Blaha Lujza tér M / Pestszentlőrinc, Szarvas csárda tér","009FE3"
"2180","218","3","Szentlélek tér H / Solymár, Auchan áruház","009FE3"
"2190","219","3","Csillaghegy H / Csillaghegy H","009FE3"
"2200","220","3","Újpest-Központ M / Újpest, Erdősor út","009FE3"
"2220","222","3","Széll Kálmán tér M / Budakeszi, Honfoglalás sétány","009FE3"
"2240","224","3","Újpalota, Szentmihályi út / Újpalota, Szentmihályi út","009FE3"
"2250","225","3","Mexikói út M / Rákospalota, Székely Elek út","009FE3"
"2260","226","3","Nyugati pályaudvar M / Óbudai-sziget","009FE3"
"2300","230","3","Keleti pályaudvar M / Káposztásmegyer, Aquaworld","009FE3"
"2310","231","3","Örs vezér tere M+H / Rákospalota, Széchenyi tér","009FE3"
"2360","236","3","Vecsés, Market Central Ferihegy / Baross utca","009FE3"
"2361","236A","3","Ganztelep, Mednyánszky utca / Baross utca","009FE3"
"2370","237","3","Szentlélek tér H / Jablonka út","009FE3"
"2380","238","3","Csepel, Szent Imre tér / József Attila utca","009FE3"
"2400","240","3","Móricz Zsigmond körtér M / Budaörsi lakótelep","009FE3"
"2410","241","3","Savoya Park / Lomnici utca","009FE3"
"2411","241A","3","Városház tér / Lomnici utca","009FE3"
"2430","243","3","Békásmegyer H / Pince köz","009FE3"
"2440","244","3","Örs vezér tere M+H / Centenáriumi lakótelep","009FE3"
"2500","250","3","Savoya Park / Kelenföld vasútállomás M","009FE3"
"2502","250B","3","Savoyai Jenő tér (Törley tér) / Kelenföld vasútállomás M","009FE3"
"2510","251","3","Savoya Park / Kelenföld vasútállomás M","009FE3"
"2511","251A","3","Városház tér / Kelenföld vasútállomás M","009FE3"
"2545","254E","3","Népliget M / Alacskai úti lakótelep","009FE3"
"2570","257","3","Hűvösvölgy / Hűvösvölgy","009FE3"
"2600","260","3","Óbudai rendelőintézet / Citronella utca","009FE3"
"2601","260A","3","Óbudai rendelőintézet / Kocsis Sándor út","009FE3"
"2615","261E","3","Örs vezér tere M+H / Rákoskeresztúr, városközpont","009FE3"
"2620","262","3","Kőbánya alsó vasútállomás / Erzsébet körút","009FE3"
"2640","264","3","Hűvösvölgy / Solymár, PEMÜ","009FE3"
"2660","266","3","Pestszentimre vasútállomás / Ganztelep, Mednyánszky utca","009FE3"
"2700","270","3","Újpest-Központ M / Rákospalota, Csömöri-patak","009FE3"
"2720","272","3","Kelenföld vasútállomás M / Baross Gábor utca","009FE3"
"2765","276E","3","Örs vezér tere M+H / Rákoscsaba-Újtelep, Naplás út","009FE3"
